playa: A; sombrilla: 1; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 2; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 3; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 4; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 5; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 6; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 7; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 8; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 9; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 10; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: A; sombrilla: 11; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: A; sombrilla: 12; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: A; sombrilla: 13; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: A; sombrilla: 14; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: A; sombrilla: 15; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: A; sombrilla: 16; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: A; sombrilla: 17; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: A; sombrilla: 18; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: A; sombrilla: 19; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: A; sombrilla: 20; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: B; sombrilla: 1; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: B; sombrilla: 2; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: B; sombrilla: 3; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: B; sombrilla: 4; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: B; sombrilla: 5; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: B; sombrilla: 6; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: B; sombrilla: 7; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: B; sombrilla: 8; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: B; sombrilla: 9; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: B; sombrilla: 10; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 3
playa: B; sombrilla: 11; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 4
playa: C; sombrilla: 1; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 2; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 3; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 4; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 5; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 6; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 7; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 8; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 9; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
playa: C; sombrilla: 10; estado: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; tam: 2
